goblin_id,fertilizer_production_rate,diet_quality,farm_environment,goblin_health_index,fertilizer_demand,accident_frequency,goblin_breed,annual_cost
1,5.993428306022466,71.94098081403975,field,336.75431108692527,5.0,1.2719029434977123,mountain,9067.895200760693
2,4.72347139765763,57.03410801038873,swamp,467.3513869860495,,0.9488097070338184,cave,5051.287940454566
3,6.295377076201385,60.95932030881282,field,428.87488710435184,3.0,4.524717501731841,cave,9081.198733627021
4,8.046059712816051,67.89910992547267,swamp,677.5433820125436,3.0,0.6034288337817089,forest,11325.540722780746
5,4.531693250553328,53.23577914056253,swamp,407.8428937768826,6.0,1.9322414356533841,mountain,9352.95708216552
6,4.531726086101639,50.1886625430306,swamp,491.5011591765362,3.0,3.2225838081572062,cave,11380.016371134458
7,8.158425631014783,80.0,field,443.68687370589066,,2.529056864928278,forest,12005.53769682618
8,6.534869458305818,68.63067368326624,barn,692.5009191154965,2.0,1.5264644440443391,forest,7849.077578672228
9,4.061051228130096,52.98393697823412,barn,790.37791918957,,0.8078528644546619,forest,7911.149733062145
10,6.085120087171929,53.32860858176975,field,525.5112632060113,,2.1297864432595244,mountain,7106.998207632261
11,4.0731646143750755,55.75925757134386,barn,731.545755356153,1.0,0.0,mountain,4638.942212855847
12,4.068540492859486,44.524319989799885,barn,337.4293456158805,,2.1698670603958687,forest,7522.583602843598
13,5.483924543132068,74.6240050713092,swamp,533.095688125815,3.0,2.0348265868945403,mountain,12505.939726576276
14,1.1734395106844042,20.0,swamp,376.18396293597795,3.0,3.070121928526599,mountain,8458.830429989453
15,1.5501643349739345,39.76095271144396,field,431.36074045746426,,0.8566602569155672,cave,8575.035425276958
16,3.8754249415180544,42.98250736677091,field,685.9310918501349,,1.6765286001539341,forest,8080.565544273239
17,2.9743377593311524,27.28052203850474,barn,805.3299858661702,4.0,2.4369016468375175,forest,9637.741399003802
18,5.628494665190548,50.189098980981164,swamp,197.19631287021232,7.0,2.2055677587035616,mountain,8036.03776130805
19,3.1839518489575775,32.26814170971742,field,607.7114051899044,2.0,0.6573535030895805,forest,7222.011461926984
20,2.1753925973294166,31.644800242654497,field,565.7150460622388,1.0,1.3524982696161174,forest,4307.211489140881
21,7.931297537843108,78.67873518309986,field,194.7320313407455,4.0,3.399911560231394,forest,6998.985970974655
22,4.548447399026928,40.650579152829636,field,269.5154643520873,5.0,2.2593263852911156,mountain,5124.975196248113
23,5.1350564093758475,50.836905352396954,field,348.80199578614423,1.0,0.3358838520227705,mountain,7491.568339572588
24,2.1505036275730864,48.626732606703335,field,233.54485665400117,3.0,2.8832321466773365,mountain,6479.494765613352
25,3.9112345509496347,58.565308108604185,barn,294.9835860194734,4.0,0.40073527394721964,cave,4054.7105469244125
26,5.2218451794197325,56.13799813209818,swamp,314.080639089366,1.0,1.6929795023872485,forest,4650.945983284284
27,2.6980128451553944,31.96413754292515,swamp,368.5390664312477,7.0,2.5632765545764777,cave,7370.953865213249
28,5.751396036691344,57.211481560713366,field,699.5123622409272,2.0,3.213705880018736,mountain,10671.495726977335
