customer_id,call_id,date_call_start,date_call_end,escalated,satisfaction_score,is_churn
CUST_0001,774072e6-9a44-41b5-8ae5-6acd332b7e77,2024-03-25 13:35:53,2024-03-25 13:42:15,False,4,False
CUST_0001,06336c16-5768-4809-84f2-7b45ce7051f9,2024-03-27 21:21:06,2024-03-27 21:23:55,False,2,False
CUST_0001,5a3a9a84-0433-41e2-838c-ae3976675c64,2024-02-09 17:31:47,2024-02-09 17:33:47,True,3,False
CUST_0001,8a3da727-98c7-4301-9ff9-9ebed99fe06c,2024-02-06 09:09:05,2024-02-06 09:27:48,False,4,False
CUST_0001,2b548543-556e-483c-9c1c-f24788bc5cbe,2024-03-06 03:43:38,2024-03-06 03:56:42,False,4,False
CUST_0001,b62676ae-2c82-49cd-8ad5-fbf628b0e076,2024-02-23 01:45:35,2024-02-23 02:03:59,False,2,False
CUST_0002,2dfaf60a-c3ee-4ff2-b88e-febf3bb208ae,2024-02-08 08:12:36,2024-02-08 08:33:48,True,4,False
CUST_0002,708d9a06-f42c-4c8a-b279-2bd3f3731b29,2024-02-26 00:42:19,2024-02-26 00:59:42,False,4,False
CUST_0002,acf67bb3-aee1-470b-8af3-8ad0e4e19ac6,2024-02-20 05:33:08,2024-02-20 05:54:03,False,2,False
CUST_0003,0639d0f2-be45-4bfb-b1ae-16fa014356c5,2024-01-14 02:41:11,2024-01-14 02:55:33,False,3,False
CUST_0003,754c6649-d869-4f6e-856e-7f5e8d481b91,2024-03-04 03:07:18,2024-03-04 03:11:37,False,4,False
CUST_0003,90d14d74-8442-48e6-9bcd-0d9609011d6d,2024-03-12 19:29:52,2024-03-12 19:54:23,True,4,False
CUST_0003,6ac84d3c-0725-436f-98fb-6e81b25b9ea1,2024-01-04 07:32:05,2024-01-04 07:41:46,False,2,False
CUST_0003,79b9b6fc-a644-45cc-a999-10b8ef5d6aa6,2024-01-06 08:20:41,2024-01-06 08:27:15,False,3,False
CUST_0004,2ff3badb-c644-4d6a-9075-30ea8e20bbc4,2024-01-24 09:47:49,2024-01-24 10:01:12,False,3,False
CUST_0004,3a3cab18-5163-491e-88a8-d2cfc9f4b03b,2024-03-24 19:26:04,2024-03-24 19:32:51,True,3,False
CUST_0004,eca00cd1-19a2-462a-b96e-1af1d2d12e9e,2024-01-17 05:37:29,2024-01-17 05:48:43,True,3,False
CUST_0004,1ee92447-863b-458c-b9f0-7888e68e9283,2024-02-27 17:03:28,2024-02-27 17:21:33,False,4,False
CUST_0004,2db80bca-92ff-4f8d-b2c0-8dbebf9dd55a,2024-01-24 12:23:16,2024-01-24 12:41:24,False,3,False
CUST_0005,ed6c8149-1ab4-4f61-bc3d-f77681c77d51,2024-01-27 15:04:13,2024-01-27 15:11:08,False,2,False
CUST_0005,3c10cdd8-c07b-401a-ae34-d55fd696e018,2024-03-20 03:10:08,2024-03-20 03:20:44,False,4,False
CUST_0005,4d59ca03-91a4-4148-b760-9f486ee0a877,2024-02-03 08:39:39,2024-02-03 09:04:19,False,3,False
CUST_0005,1d8aa50d-fcd2-499a-9ab0-ebaf646d01df,2024-03-06 14:50:17,2024-03-06 15:09:45,False,2,False
CUST_0005,f577dfb6-47a1-4896-8046-a76902987ac1,2024-03-21 00:45:42,2024-03-21 01:19:22,False,2,False
CUST_0006,94de6422-56fc-4826-841b-d3e2640d350d,2024-02-14 11:22:08,2024-02-14 11:47:45,False,2,False
CUST_0006,0841b80f-5aa4-4294-8101-8d7c450adcb4,2024-01-02 17:43:08,2024-01-02 18:08:25,False,2,False
CUST_0006,ac3be761-72d5-4ca0-a8f5-979ac835ffc8,2024-03-30 08:04:29,2024-03-30 08:06:59,False,2,False
CUST_0006,bc186b02-c9a6-49fb-986a-c29437050b36,2024-01-10 23:10:04,2024-01-10 23:31:56,False,2,False
CUST_0006,6a28e4ea-37f5-4b4f-bcc9-5200b8a94425,2024-02-19 21:12:26,2024-02-19 21:26:57,False,3,False
CUST_0006,a6058c6a-e83a-4252-ae09-3252cd6d0e9f,2024-02-03 12:21:45,2024-02-03 12:31:47,False,3,False
CUST_0007,20188a1d-50ed-49b8-8dd7-1acd60107d40,2024-03-20 22:00:24,2024-03-20 22:16:54,False,4,False
CUST_0007,eccd84d2-1554-4802-8de2-a2a7af4e2a7c,2024-01-13 21:34:38,2024-01-13 21:58:08,False,3,False
CUST_0007,a82cf74a-5d05-4359-9b7e-2e48a5a40146,2024-03-22 13:22:02,2024-03-22 13:41:32,False,4,False
CUST_0007,28793a9a-df44-43ca-be10-9896f12c97e8,2024-02-17 02:13:06,2024-02-17 02:20:11,False,3,False
CUST_0008,666d6e76-dd5d-4a5b-8428-701ff6bcb872,2024-02-19 12:04:45,2024-02-19 12:26:25,False,3,False
CUST_0008,3511771f-bfe0-49b4-b906-0cb2a0e47274,2024-01-25 10:15:53,2024-01-25 10:25:08,False,3,False
CUST_0008,4c74188d-1e9d-42f3-bfaa-3a6902f432e6,2024-03-27 09:10:27,2024-03-27 09:27:24,False,2,False
CUST_0009,7336bb05-513a-404f-9591-f3fa4541c4d5,2024-03-31 15:08:31,2024-03-31 15:20:47,False,2,False
CUST_0009,01c54fc2-de2e-46f0-8465-801d78511843,2024-01-07 11:29:36,2024-01-07 11:42:37,False,4,False
CUST_0009,d7402dbe-8551-4cbe-bb00-a2931d9e221e,2024-03-29 02:36:43,2024-03-29 02:58:36,False,2,False
CUST_0010,351103ad-8f91-4ad6-99d0-09bcce466a18,2024-03-20 09:09:21,2024-03-20 09:14:59,False,4,False
CUST_0010,85b0a1a3-64d8-4e46-8a43-d58a4cc3935b,2024-03-07 21:25:01,2024-03-07 21:57:31,False,4,False
CUST_0010,e374449e-8769-44e4-9720-a2b1583444b3,2024-03-29 02:03:44,2024-03-29 02:05:44,False,3,False
CUST_0011,1d1d6d62-bb77-4213-a534-0eb714275b34,2024-03-13 03:06:09,2024-03-13 03:15:46,False,2,False
CUST_0011,acf7130b-b269-4061-8b24-78d057de62b7,2024-02-09 00:35:47,2024-02-09 00:54:06,False,3,False
CUST_0011,cf1ec838-241e-4e0c-8a15-68cad9b2ee43,2024-01-02 14:00:52,2024-01-02 14:21:07,False,3,False
CUST_0011,8ba3a690-ca15-4a26-b354-63d2b3fd2aa6,2024-03-13 07:15:20,2024-03-13 07:29:25,False,4,False
CUST_0011,09c0ab50-cf4c-46bf-af07-be0ed1b97f26,2024-03-29 08:29:53,2024-03-29 08:44:22,False,3,False
CUST_0011,12b2901c-f96b-481b-b3f4-fa9f35cc9603,2024-03-25 15:33:56,2024-03-25 15:52:37,False,3,False
CUST_0012,9613a7d9-1b3d-4b3b-943e-cdceaf03b48e,2024-02-02 10:01:57,2024-02-02 10:14:52,False,4,False
CUST_0012,2eb491c4-d0cf-4771-9a36-7d60d71db8bd,2024-03-24 00:17:45,2024-03-24 00:45:17,False,2,False
CUST_0012,d39d0c43-cf43-4807-b233-a9e55dfd47bb,2024-01-13 19:55:56,2024-01-13 20:18:29,True,2,False
